iter	PRAUC	Logloss
0	0.8578408041	0.6539065714
1	0.8952826368	0.6205259617
2	0.8971476659	0.5903370892
3	0.8979986771	0.5662524778
4	0.8993789757	0.5466100194
5	0.9004679722	0.5276331649
6	0.9002911537	0.5114189034
7	0.8999364236	0.4985891495
8	0.900155654	0.4870382993
9	0.8999508113	0.4772646039
10	0.900192135	0.4669249747
11	0.9006311646	0.4585478832
12	0.901333532	0.4515431445
13	0.9017926056	0.4456966057
14	0.9021777267	0.4401847722
15	0.9023478895	0.4352610047
16	0.9027949305	0.430743698
17	0.9027926764	0.4264886847
18	0.9031303068	0.4226353898
19	0.9037962015	0.4188665728
20	0.904305586	0.4154994483
21	0.9046341022	0.412748697
22	0.9048597806	0.4099446287
23	0.9054186006	0.4077428675
24	0.9056114118	0.4054913961
25	0.9059386867	0.4033212796
26	0.9059953633	0.4011721006
27	0.9062508979	0.399476719
28	0.9064030368	0.3979192528
29	0.9064346577	0.3962416713
30	0.9069452103	0.3952576196
31	0.9072240117	0.3937217363
32	0.9073817434	0.3926413154
33	0.9076100268	0.3914338168
34	0.9076786153	0.3904148559
35	0.9078724842	0.3894021158
36	0.9081787756	0.3885054256
37	0.9084573628	0.3876176766
38	0.9085567014	0.3868657727
39	0.9087502763	0.3860912592
40	0.9089745626	0.3852877319
41	0.9091792684	0.3846130505
42	0.9093532347	0.3842299485
43	0.9095276573	0.383748945
44	0.9095657692	0.3831131241
45	0.909846587	0.3824518124
46	0.9099906177	0.3819290638
47	0.9100304846	0.381537118
48	0.91022238	0.3810910558
49	0.9103569572	0.3806354646
