iter	Passed	Remaining
0	14	715
1	29	703
2	46	729
3	63	730
4	79	715
5	95	700
6	112	689
7	128	676
8	143	654
9	160	643
10	176	626
11	193	611
12	209	595
13	225	578
14	241	563
15	258	549
16	274	533
17	291	517
18	310	506
19	331	497
20	349	482
21	365	465
22	382	449
23	399	432
24	415	415
25	432	399
26	449	382
27	465	365
28	484	350
29	501	334
30	518	317
31	535	301
32	551	283
33	568	267
34	585	250
35	601	233
36	618	217
37	635	200
38	651	183
39	669	167
40	685	150
41	702	133
42	719	117
43	735	100
44	751	83
45	768	66
46	788	50
47	805	33
48	821	16
49	838	0
